nexonsn,npsn,bonusprob,bonustype,gender,classgroup,charid,probitemgetresult,itemlevel,itemget,itemid,itemtype,itemgrade,itemenchantbef,itemenchantaft,itemuid,itemgetprob,playtime,chartype,usernickname,charcode,probitemgettype,userlevel,tribe,ispcroom,idcategory,id,actionid,charlevel,charname,class,isburningchar
1359502094,null,"WrappedArray(85.0, 0.0, 0.0, 15.0, 0.0, 0.0)","WrappedArray(SuccessProb, DowngradeProb, DestroyProb, NoChangeProb, DestroyDefensible, MiniGameBonus)",U,null,94238402,1,140,1,1122150,1,3,3,4,8214566970159269798,85,22196,null,null,null,1,null,2413,2,WrappedArray(meso),WrappedArray(440000),20211215225939916,266,현극,2413,0
403160747,null,"WrappedArray(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","WrappedArray(SuccessProb, DowngradeProb, DestroyProb, NoChangeProb, DestroyDefensible, MiniGameBonus)",U,null,43341932,1,0,1,0,0,,20248,20284,0,0.0,318,null,null,null,5,null,3101,2,"WrappedArray(itemboxtype, itemboxid, purchaseSN, itemuid)","WrappedArray(FaceCoupon, -1, 0, 0)",20211215225939456,10,따분한나날,3101,0
1359531009,null,"WrappedArray(85.0, 0.0, 0.0, 15.0, 0.0, 0.0)","WrappedArray(SuccessProb, DowngradeProb, DestroyProb, NoChangeProb, DestroyDefensible, MiniGameBonus)",U,null,102245923,1,75,1,1032022,1,1,2,3,7349875815934400551,85,5757,null,null,null,1,null,2214,2,WrappedArray(meso),WrappedArray(51600),20211215225939622,93,경치붑,2214,0
1946660489,null,"WrappedArray(30.0, 69.97, 0.03, 0.0, 0.0, 0.0)","WrappedArray(SuccessProb, DowngradeProb, DestroyProb, NoChangeProb, DestroyDefensible, MiniGameBonus)",U,null,6090623,3,160,1,1152178,1,4,16,15,1441156102711605390,30,2498,null,null,null,1,null,413,2,WrappedArray(meso),WrappedArray(38707470),20211215225940385,250,청시환,413,0
369719965,null,"WrappedArray(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","WrappedArray(SuccessProb, DowngradeProb, DestroyProb, NoChangeProb, DestroyDefensible, MiniGameBonus)",U,null,6694100,1,0,1,0,0,,28017,28086,0,1.666666666666667E9,16,null,null,null,5,null,332,2,"WrappedArray(itemboxtype, itemboxid, purchaseSN, itemuid)","WrappedArray(FaceCoupon, 5152091, 150100000, 101176146)",20211215225941142,200,너만이나에게,332,0
1946660489,null,"WrappedArray(30.0, 0.0, 0.03, 70.0, 0.0, 0.0)","WrappedArray(SuccessProb, DowngradeProb, DestroyProb, NoChangeProb, DestroyDefensible, MiniGameBonus)",U,null,6090623,2,160,1,1152178,1,4,15,15,1441156102711605390,30,2500,null,null,null,1,null,413,2,WrappedArray(meso),WrappedArray(32863050),20211215225941518,250,청시환,413,0
1544095296,null,"WrappedArray(75.0, 0.0, 0.0, 25.0, 0.0, 0.0)","WrappedArray(SuccessProb, DowngradeProb, DestroyProb, NoChangeProb, DestroyDefensible, MiniGameBonus)",U,null,30139410,1,110,1,1122274,1,1,5,6,3747000387530557490,75,11829,null,null,null,1,null,16212,1,WrappedArray(meso),WrappedArray(304380),20211215225941801,163,셉존라라,16212,0
335812094,null,"WrappedArray(80.0, 0.0, 0.0, 20.0, 0.0, 0.0)","WrappedArray(SuccessProb, DowngradeProb, DestroyProb, NoChangeProb, DestroyDefensible, MiniGameBonus)",U,null,7423339,1,200,1,1082699,1,2,4,5,3746996934376737086,80,45144,null,null,null,1,null,513,2,WrappedArray(meso),WrappedArray(1552970),20211215225942889,235,우에토토,513,0
1375976297,null,"WrappedArray(60.0, 0.0, 0.0, 40.0, 0.0, 0.0)","WrappedArray(SuccessProb, DowngradeProb, DestroyProb, NoChangeProb, DestroyDefensible, MiniGameBonus)",U,null,7079787,1,140,1,1072968,1,2,8,9,7205760602088748105,60,3486,null,null,null,1,null,222,2,WrappedArray(meso),WrappedArray(988800),20211215225942498,171,리미짱짱썬콜,222,0
1946660489,null,"WrappedArray(30.0, 0.0, 0.03, 70.0, 0.0, 0.0)","WrappedArray(SuccessProb, DowngradeProb, DestroyProb, NoChangeProb, DestroyDefensible, MiniGameBonus)",U,null,6090623,2,160,1,1152178,1,4,15,15,1441156102711605390,30,2502,null,null,null,1,null,413,2,WrappedArray(meso),WrappedArray(32863050),20211215225943984,250,청시환,413,0
335812094,null,"WrappedArray(70.0, 0.0, 0.0, 30.0, 0.0, 0.0)","WrappedArray(SuccessProb, DowngradeProb, DestroyProb, NoChangeProb, DestroyDefensible, MiniGameBonus)",U,null,7423339,2,200,1,1082699,1,2,6,6,3746996934376737086,70,45146,null,null,null,1,null,513,2,WrappedArray(meso),WrappedArray(2173770),20211215225945545,235,우에토토,513,0
1627685185,null,"WrappedArray(31.5, 0.0, 0.03, 68.5, 0.0, 1.0)","WrappedArray(SuccessProb, DowngradeProb, DestroyProb, NoChangeProb, DestroyDefensible, MiniGameBonus)",U,null,26347999,1,145,1,1022277,1,1,17,18,4755801666064795689,30,72850,null,null,null,1,null,10113,2,WrappedArray(meso),WrappedArray(37352600),20211215225945321,251,보린,10113,0
738297296,null,"WrappedArray(100.0, 0.0, 0.0, 0.0, 0.0, 0.0)","WrappedArray(SuccessProb, DowngradeProb, DestroyProb, NoChangeProb, DestroyDefensible, MiniGameBonus)",U,null,6283797,1,150,1,1132176,1,2,5,6,3170535954440482883,100,14111,null,null,null,1,null,333,2,WrappedArray(meso),WrappedArray(55832200),20211215225945602,251,아름다운한강,333,0
